product_name,brand,category,merchant,merchant_city,merchant_type,bundle,price_before_discount,price_after_discount,discount_percentage,unit_sold,product_rating
aqualight daily sunscreen skintific 50gram,Skintific,Sunscreen,Dheka Shakeenah,Kab. Tangerang,Reseller,No,228889.0,103000.0,55,500,4.8
【video】skintific travel kit skincare paket：5x ceramide low ph cleanser 15ml + moisture gel 6g + 5x ceramide serum sunscreen 5ml + 5x ceramide soothing toner 20ml,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,300000.0,135000.0,55,500,4.8
[doktif approved] skintific 5x ceramide serum sunscreen 30ml hyaluronic  acid  facial serum wajah  sunblock  untuk kulit berminyak  berjerawat  kering,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,169091.0,93000.0,45,100,4.8
[beli 2 dapat 3]【2pcs*50g sunsceen set 】skintific  matte fit serum sunscreen 50g spf50+ pa++++/aqua sunscreen light daily sunscreen spf 35 pa++/ 5x ceramide serum sunscreen spf 50 pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,286842.0,218000.0,24,500,4.8
skintific - outdoor sunscreen spray spf 50+ pa++++ 250ml | uv mist tone up sun shield sunscreen whitening glowing bpom,Skintific,Sunscreen,Nep Cosmetics,Kab. Sleman,Reseller,No,200658.0,152500.0,24,1,5.0
skintific light serum sunscreen spf50 pa ++++ 25ml,Skintific,Sunscreen,Watsons Indonesia Official Store,Kab. Tangerang,Retail,No,139900.0,90935.0,35,6,5.0
skintific-5x ceramide srm sunscreen 5 ml,Skintific,Sunscreen,Hypermart Cibubur Junc,Jakarta Timur,Retail,No,97650.0,19530.0,80,5,5.0
skintific light serum sunscreen spf50 pa++++ 25ml,Skintific,Sunscreen,Makeupuccino,Bandung,Reseller,No,122500.0,94325.0,23,7,5.0
skintific - 4pcs paket matte makeup set | cover perfect serum concealer +perfect stay velvet matte cushion + ultra cover powder foundation+ setting spray 5x ceramide barrier moisture gel cream + spf 50+ pa+++ sunscreen+sunscreen spray,Skintific,Sunscreen,Skintific Official Store,Jakarta Timur,Official Store,Yes,692500.0,470900.0,32,8,5.0
[​ ! terbatas ! ] skintific - all day light sunscreen mist spf 50 pa++++ 120ml | sunscreen spray uv mist tone up sun shield sunscreen sunblock whitening glowing bpom barrier brightening whitening mencerahkan wajah melindungi kulit dari sinar uva uvb,Skintific,Sunscreen,Skintific Official Store,Jakarta Timur,Official Store,No,149839.0,92900.0,38,60,5.0
[ ! terbatas ! ] skintific - aqua light daily sunscreen spf 35 pa+++ 50ml | skincare sunscreen skin true to skin tinted sunscreen aqua sunblock sunblock badan sun stick glowing barrier anti-aging brightening whitening mencerahkan wajah melindungi,Skintific,Sunscreen,Skintific Official Store,Jakarta Timur,Official Store,No,299697.0,98900.0,67,50,5.0
"skintific - 5x ceramide barrier series set | cleanser, low ph toner, barrier serum, moisture gel, sunscreen spf50 pa++++, soothing serum sunscreen | repair skin barrier, hydrate, brighten & calm down sensitive skin skincare collection",Skintific,Sunscreen,Skintific Official Store,Jakarta Timur,Official Store,Yes,178654.0,92900.0,48,100,5.0
